unemployed,ANYWORK,education_level,latino,race,home_food_costs,outside_food_costs,housing_status,LIVQTR,owe_backrent,owe_backmortgage,expect_eviction,income_bracket,income,expect_foreclosure,use_credit_cards,weight,EST_ST
2.0,1.0,7,1,1,350.0,100.0,3.0,5.0,1.0,77.0,,,1097.0341783091555,77.0,1.0,87.829654772,11
2.0,1.0,7,1,1,250.0,50.0,2.0,3.0,77.0,2.0,77.0,5.0,13375.98145286979,3.0,,56.538982314,11
2.0,1.0,6,1,1,100.0,150.0,2.0,8.0,77.0,1.0,77.0,7.0,0.0,,,55.157586462,11
2.0,1.0,7,1,1,100.0,40.0,3.0,9.0,1.0,77.0,,4.0,0.0,77.0,1.0,68.094076165,11
2.0,1.0,7,1,1,200.0,100.0,2.0,2.0,77.0,1.0,77.0,8.0,0.0,,,56.538982314,11
2.0,1.0,7,1,2,250.0,64.0,3.0,3.0,1.0,77.0,,8.0,4277.55195082412,77.0,,108.61604004,11
2.0,2.0,7,1,2,59.0,0.0,1.0,3.0,77.0,77.0,77.0,4.0,7695.286385724514,77.0,,107.8796218,11
1.0,1.0,4,1,2,230.0,,2.0,3.0,77.0,1.0,77.0,3.0,6318.113510271652,,,145.67257955,11
2.0,1.0,7,1,1,,,,,77.0,77.0,77.0,,32409.960074714523,77.0,,68.094076165,11
2.0,1.0,3,1,2,150.0,60.0,2.0,2.0,77.0,1.0,77.0,5.0,0.0,,,335.90647223,11
2.0,1.0,6,1,1,200.0,150.0,2.0,3.0,77.0,1.0,77.0,7.0,0.0,,,93.047593504,11
2.0,2.0,4,1,1,200.0,200.0,2.0,8.0,77.0,1.0,77.0,8.0,0.0,,,137.01810073,11
2.0,1.0,7,1,3,100.0,20.0,2.0,9.0,77.0,1.0,77.0,6.0,3351.905291097521,,1.0,111.40449979,11
1.0,2.0,6,1,2,250.0,0.0,3.0,6.0,2.0,77.0,1.0,1.0,1639.1198109769061,77.0,,79.743425153,11
1.0,1.0,7,1,1,75.0,25.0,2.0,2.0,77.0,1.0,77.0,6.0,4551.598754089971,,1.0,40.414232465,11
1.0,2.0,7,1,2,350.0,0.0,1.0,3.0,77.0,77.0,77.0,5.0,0.0,77.0,1.0,133.76810475,11
2.0,1.0,6,1,2,300.0,0.0,1.0,3.0,77.0,77.0,77.0,5.0,0.0,77.0,1.0,108.61604004,11
2.0,1.0,7,1,1,120.0,50.0,2.0,3.0,77.0,1.0,77.0,8.0,0.0,,,51.796716957,11
2.0,1.0,7,1,2,,,,,77.0,77.0,77.0,,14653.442700049935,77.0,,108.61604004,11
1.0,1.0,4,1,2,200.0,60.0,2.0,2.0,77.0,1.0,77.0,6.0,3876.690878919042,,1.0,81.006254031,11
2.0,2.0,4,1,2,0.0,50.0,2.0,3.0,77.0,1.0,77.0,5.0,2163.387205212127,,,183.87281211,11
1.0,1.0,3,1,2,40.0,30.0,3.0,2.0,1.0,77.0,,3.0,17792.932001354293,77.0,,762.46048398,11
1.0,1.0,6,1,2,60.0,20.0,3.0,2.0,1.0,77.0,,4.0,0.0,77.0,1.0,133.76810475,11
1.0,1.0,7,1,1,300.0,100.0,3.0,4.0,1.0,77.0,,1.0,6186.681318932428,77.0,1.0,994.22891898,11
2.0,1.0,6,1,2,125.0,75.0,2.0,2.0,77.0,1.0,77.0,,37.078373529713744,,,79.743425153,11
2.0,2.0,7,1,1,75.0,70.0,1.0,5.0,77.0,77.0,77.0,7.0,0.0,77.0,,40.414232465,11
1.0,1.0,6,1,1,200.0,60.0,2.0,7.0,77.0,1.0,77.0,7.0,3232.9934775882953,,,52.742529497,11
1.0,1.0,4,1,2,200.0,,,,77.0,77.0,77.0,,0.0,77.0,,81.006254031,11
2.0,1.0,7,1,2,100.0,75.0,2.0,2.0,77.0,1.0,77.0,6.0,1675.9656365615972,,,108.61604004,11
1.0,2.0,6,1,1,,,,,77.0,77.0,77.0,,0.0,77.0,,40.414232465,11
2.0,1.0,6,1,1,100.0,80.0,3.0,7.0,1.0,77.0,,7.0,0.0,77.0,,167.5928172,11
1.0,2.0,3,1,2,230.0,70.0,3.0,7.0,2.0,77.0,2.0,1.0,0.0,77.0,1.0,496.83719384,11
2.0,1.0,6,1,1,150.0,50.0,3.0,9.0,1.0,77.0,,7.0,10078.974224249894,77.0,,167.5928172,11
1.0,1.0,3,1,2,,,,,77.0,77.0,77.0,,0.0,77.0,,549.59231247,11
1.0,1.0,6,1,2,100.0,15.0,1.0,8.0,77.0,77.0,77.0,3.0,0.0,77.0,,114.54682373,11
2.0,1.0,7,1,2,80.0,0.0,,,77.0,77.0,77.0,,0.0,77.0,,79.743425153,11
2.0,2.0,6,1,1,300.0,70.0,3.0,7.0,2.0,77.0,2.0,1.0,0.0,77.0,1.0,899.75405235,11
2.0,1.0,6,1,2,100.0,100.0,3.0,7.0,1.0,77.0,,3.0,14610.544970113899,77.0,1.0,3546.1509377,11
2.0,1.0,7,1,1,,,,,77.0,77.0,77.0,,0.0,77.0,,93.047593504,11
2.0,1.0,3,2,1,,,,,77.0,77.0,77.0,,0.0,77.0,,420.19404469,11
2.0,1.0,6,1,2,300.0,45.0,1.0,3.0,77.0,77.0,77.0,4.0,0.0,77.0,,74.386360892,11
2.0,2.0,6,1,1,80.0,0.0,1.0,9.0,77.0,77.0,77.0,6.0,0.0,77.0,,56.538982314,11
1.0,2.0,4,1,2,,,2.0,3.0,77.0,1.0,77.0,6.0,6474.0931700453375,,,209.71633423,11
2.0,2.0,4,1,1,,,,,77.0,77.0,77.0,,0.0,77.0,1.0,88.60840646,11
2.0,1.0,7,1,1,444.0,92.0,2.0,2.0,77.0,1.0,77.0,8.0,10364.120119306594,,,40.414232465,11
2.0,1.0,7,1,1,200.0,200.0,3.0,3.0,1.0,77.0,,8.0,0.0,77.0,,150.17999935,11
2.0,1.0,7,1,4,30.0,30.0,3.0,4.0,1.0,77.0,,1.0,0.0,77.0,,109.52223174,11
2.0,2.0,7,1,1,,0.0,1.0,3.0,77.0,77.0,77.0,,17729.002279136097,77.0,,80.389594947,11
1.0,2.0,3,1,2,100.0,100.0,3.0,6.0,1.0,77.0,,3.0,7570.775095260881,77.0,,891.08127574,11
2.0,1.0,7,1,1,150.0,30.0,2.0,3.0,77.0,1.0,77.0,8.0,0.0,,,55.806555255,11
2.0,1.0,7,2,1,100.0,50.0,3.0,6.0,1.0,77.0,,5.0,0.0,77.0,1.0,3096.2392635,11
2.0,2.0,7,1,1,,,,,77.0,77.0,77.0,,995.438990874931,77.0,,54.069355693,11
1.0,2.0,6,2,4,100.0,25.0,,,77.0,77.0,77.0,,0.0,77.0,1.0,76.996629478,11
2.0,1.0,7,1,1,200.0,70.0,2.0,3.0,77.0,1.0,77.0,8.0,0.0,,,56.538982314,11
2.0,1.0,6,1,1,150.0,50.0,2.0,3.0,77.0,1.0,77.0,7.0,0.0,,1.0,150.17999935,11
1.0,1.0,4,1,2,100.0,0.0,3.0,7.0,2.0,77.0,4.0,2.0,0.0,77.0,1.0,81.006254031,11
2.0,2.0,3,1,2,100.0,50.0,2.0,2.0,77.0,1.0,77.0,5.0,0.0,,,604.05659887,11
1.0,2.0,4,1,2,,,,,77.0,77.0,77.0,,13375.312298213543,77.0,,174.83785779,11
1.0,2.0,6,1,2,397.0,397.0,3.0,3.0,2.0,77.0,2.0,1.0,11137.435334823012,77.0,,108.61604004,11
2.0,2.0,4,1,2,,,,,77.0,77.0,77.0,,0.0,77.0,,145.67257955,11
2.0,1.0,7,1,2,200.0,50.0,2.0,2.0,77.0,2.0,77.0,8.0,0.0,4.0,,95.65147396,11
2.0,1.0,7,1,1,50.0,100.0,,,77.0,77.0,77.0,,3014.253494847587,77.0,1.0,93.047593504,11
2.0,1.0,6,1,2,,,,,77.0,77.0,77.0,,0.0,77.0,,114.54682373,11
2.0,1.0,6,1,1,0.0,70.0,2.0,3.0,77.0,1.0,77.0,5.0,7691.14114433394,,,55.806555255,11
1.0,1.0,7,1,1,140.0,79.0,3.0,9.0,1.0,77.0,,5.0,0.0,77.0,,308.72544026,11
1.0,1.0,7,1,1,150.0,50.0,2.0,7.0,77.0,1.0,77.0,6.0,0.0,,,57.77454569,11
2.0,1.0,7,1,1,400.0,75.0,2.0,8.0,77.0,1.0,77.0,8.0,0.0,,1.0,93.047593504,11
2.0,1.0,6,1,2,400.0,150.0,2.0,8.0,77.0,1.0,77.0,6.0,6025.436145147196,,,298.66076603,11
1.0,1.0,7,1,2,400.0,100.0,3.0,9.0,1.0,77.0,,6.0,0.0,77.0,,74.386360892,11
2.0,1.0,4,1,2,90.0,120.0,3.0,9.0,1.0,77.0,,2.0,0.0,77.0,,145.67257955,11
1.0,2.0,3,1,2,,,,,77.0,77.0,77.0,,6547.298186762031,77.0,,496.83719384,11
1.0,2.0,1,2,4,40.0,40.0,3.0,9.0,1.0,77.0,,2.0,0.0,77.0,,420.19404469,11
2.0,1.0,6,1,1,250.0,50.0,2.0,3.0,77.0,1.0,77.0,8.0,0.0,,1.0,55.157586462,11
2.0,1.0,7,1,2,,,1.0,3.0,77.0,77.0,77.0,5.0,0.0,77.0,,107.8796218,11
2.0,2.0,7,1,1,,0.0,1.0,2.0,77.0,77.0,77.0,,9668.260069129494,77.0,,80.389594947,11
2.0,2.0,7,1,1,140.0,34.0,2.0,3.0,77.0,1.0,77.0,6.0,6425.74085865464,,1.0,56.538982314,11
2.0,2.0,6,1,1,250.0,40.0,1.0,9.0,77.0,77.0,77.0,6.0,4536.013739010013,77.0,,80.389594947,11
1.0,2.0,7,1,1,,,,,77.0,77.0,77.0,,1435.4137462482333,77.0,,40.414232465,11
1.0,2.0,6,1,2,,,,,77.0,77.0,77.0,,4269.8079099185925,77.0,,108.61604004,11
2.0,1.0,7,1,1,50.0,35.0,2.0,9.0,77.0,1.0,77.0,5.0,0.0,,,55.806555255,11
2.0,2.0,4,1,1,,,,,77.0,77.0,77.0,,0.0,77.0,,143.07152929,11
2.0,1.0,4,1,2,100.0,0.0,3.0,7.0,1.0,77.0,,1.0,0.0,77.0,,174.83785779,11
2.0,1.0,7,1,3,11.0,75.0,2.0,3.0,77.0,1.0,77.0,8.0,8776.03187893146,,,109.52223174,11
1.0,1.0,7,1,2,200.0,50.0,2.0,9.0,77.0,1.0,77.0,5.0,0.0,,,133.76810475,11
2.0,1.0,4,2,4,100.0,25.0,3.0,3.0,1.0,77.0,,5.0,0.0,77.0,,109.47102796,11
2.0,1.0,6,1,1,100.0,40.0,2.0,3.0,77.0,1.0,77.0,8.0,0.0,,,938.04260833,11
2.0,1.0,7,1,1,60.0,40.0,2.0,3.0,77.0,1.0,77.0,7.0,0.0,,1.0,51.796716957,11
1.0,1.0,6,1,1,500.0,150.0,2.0,2.0,77.0,1.0,77.0,,0.0,,,93.047593504,11
2.0,2.0,3,1,2,200.0,0.0,,,77.0,77.0,77.0,,14841.332298849895,77.0,,762.46048398,11
1.0,1.0,6,1,1,,,,,77.0,77.0,77.0,,0.0,77.0,,55.157586462,11
1.0,1.0,7,1,1,,,,,77.0,77.0,77.0,,0.0,77.0,,150.17999935,11
1.0,2.0,3,1,2,100.0,35.0,,,77.0,77.0,77.0,,2159.147503557947,77.0,,721.08245031,11
2.0,1.0,6,1,1,200.0,0.0,1.0,9.0,77.0,77.0,77.0,7.0,0.0,77.0,,80.389594947,11
1.0,2.0,3,1,2,400.0,0.0,3.0,5.0,1.0,77.0,,1.0,9337.864632449317,77.0,,738.93752621,11
2.0,2.0,3,1,2,250.0,100.0,,,77.0,77.0,77.0,,2278.364563727849,77.0,,616.04287811,11
1.0,1.0,7,1,1,150.0,40.0,3.0,9.0,1.0,77.0,,8.0,0.0,77.0,1.0,52.742529497,11
2.0,2.0,7,1,3,5.0,0.0,1.0,9.0,77.0,77.0,77.0,1.0,10795.169377482129,77.0,,685.9992645,11
,,7,1,1,,,,,77.0,77.0,77.0,,0.0,77.0,,52.742529497,11
2.0,2.0,7,1,1,300.0,100.0,1.0,2.0,77.0,77.0,77.0,8.0,0.0,77.0,,56.538982314,11
2.0,1.0,6,1,1,150.0,250.0,3.0,9.0,2.0,77.0,2.0,5.0,0.0,77.0,1.0,55.157586462,11
2.0,1.0,7,1,1,100.0,70.0,2.0,9.0,77.0,1.0,77.0,8.0,0.0,,,87.829654772,11
1.0,1.0,7,1,2,300.0,200.0,2.0,3.0,77.0,1.0,77.0,,0.0,,,133.76810475,11
2.0,1.0,7,1,1,100.0,50.0,2.0,3.0,77.0,1.0,77.0,6.0,15686.193215453406,,,54.069355693,11
2.0,1.0,6,2,1,,,,,77.0,77.0,77.0,,421.50626576173033,77.0,,78.319906896,11
1.0,2.0,4,1,2,320.0,175.0,3.0,6.0,2.0,77.0,2.0,1.0,9807.111174962794,77.0,,232.13375704,11
2.0,2.0,4,1,2,110.0,0.0,2.0,3.0,77.0,1.0,77.0,5.0,0.0,,,183.87281211,11
2.0,1.0,6,2,1,55.0,0.0,3.0,8.0,1.0,77.0,,5.0,0.0,77.0,,76.996629478,11
1.0,2.0,5,1,4,,,,,77.0,77.0,77.0,,11551.293054501211,77.0,,150.97080221,11
2.0,2.0,7,1,1,,,,,77.0,77.0,77.0,,753.5466102099602,77.0,,80.389594947,11
2.0,1.0,7,1,1,150.0,100.0,2.0,3.0,77.0,1.0,77.0,8.0,4152.833004119763,,1.0,443.82323203,11
2.0,1.0,7,1,2,125.0,25.0,3.0,4.0,1.0,77.0,,6.0,0.0,77.0,1.0,304.1776162,11
2.0,2.0,2,1,2,,,3.0,9.0,1.0,77.0,,1.0,6294.354969089536,77.0,,335.90647223,11
2.0,1.0,7,1,1,300.0,85.0,2.0,3.0,77.0,1.0,77.0,8.0,3012.370236189326,,1.0,167.5928172,11
2.0,1.0,7,1,4,50.0,0.0,3.0,6.0,1.0,77.0,,4.0,0.0,77.0,,181.68687756,11
1.0,2.0,6,1,2,100.0,,4.0,2.0,77.0,77.0,77.0,3.0,348.558166440731,77.0,,79.743425153,11
1.0,2.0,5,1,1,250.0,50.0,1.0,8.0,77.0,77.0,77.0,7.0,10722.236228832056,77.0,,88.60840646,11
2.0,2.0,7,2,1,,0.0,1.0,9.0,77.0,77.0,77.0,2.0,0.0,77.0,1.0,64.227511174,11
2.0,2.0,4,2,1,100.0,0.0,3.0,8.0,1.0,77.0,,1.0,0.0,77.0,1.0,164.55688196,11
2.0,1.0,6,1,2,110.0,27.0,2.0,3.0,77.0,1.0,77.0,5.0,0.0,,,74.386360892,11
1.0,1.0,7,1,4,100.0,0.0,,,77.0,77.0,77.0,,0.0,77.0,,151.716277,11
1.0,2.0,3,2,1,150.0,20.0,3.0,5.0,2.0,77.0,4.0,,7665.668711636935,77.0,1.0,363.2692635,11
,,3,1,2,,,,,77.0,77.0,77.0,,3646.656784327772,77.0,,616.04287811,11
2.0,1.0,7,1,3,300.0,75.0,1.0,3.0,77.0,77.0,77.0,7.0,1282.5049398292788,77.0,1.0,181.68687756,11
1.0,1.0,3,1,2,0.0,0.0,,,77.0,77.0,77.0,,4593.557932114751,77.0,,335.90647223,11
